FeatureIndex	FileName	MSLevel	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
248	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	3816.085593	3818.409947	2	70.7372	71.0333	17.7657	71.0333	16170.5	9868.82	143640	4	4	1	0.944825	0.831994805466222	16170.5	857.988;2820.89;3588.91;4504.79;1683.6;1905.98;607.271;1059.1
249	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	7352.620982	7357.204617	2	70.6085	70.6729	3.8646	70.6085	14322.9	9599.3	27676.1	5	6	2	0.870167	0.611334284126944	9599.3;4723.61	0;0;0;1397.47;3156.96;2006.69;2912.49;1271.63;1953.49;461.37;534.806;627.999
250	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	7282.609322	7287.153754	2	70.7121	71.0333	19.2701	70.7121	17711.2	9385.99	170649	5	7	3	0.865266	0.589568382681175	9385.99;1984.1;6341.13	0;0;1434.46;1174.4;2922.96;3604.35;4386.79;2071.31;0;742.083;0;0;1374.86
251	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	7409.646488	7414.253314	2	70.7372	70.8404	6.19575	70.7372	16270.8	8889.57	50405	6	7	2	0.925766	0.794847646311358	8889.57;7381.25	0;628.711;683.71;1933.23;2236.7;2876.57;2277.55;2128.49;841.973;0;925.077;903.652;0;835.166
252	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	6701.357692	6705.572130	2	70.6085	70.7121	6.21679	70.7121	17512.7	8836.44	54436.5	4	5	2	0.951682	0.905470419850023	16189.8;1322.98	0;0;1541.33;3383.92;3996.87;3421.57;2438.14;1660.67;0;1070.24
253	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8072.964135	8077.981137	2	70.4547	71.0333	34.7118	71.0333	14600	7730.5	253395	7	7	1	0.888827	0.721024157830723	14600	0;0;0;1735.1;2377.55;1751.08;2922.81;2414.68;1425.45;0;830.438;0;0;1142.84
254	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	6816.380416	6820.660815	2	70.6085	70.7121	6.21679	70.7121	14041.4	7579.5	43646.2	4	4	1	0.859401	0.915005587909214	14041.4	0;0;0;1962.23;2823.71;2845.98;2340.12;2532.85;1536.51
255	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	7019.462000	7023.856214	3	70.7372	71.0333	17.7657	70.7372	19141.3	7242.09	107693	5	6	2	0.90949	0.930633878403199	12094.5;7046.73	0;0;1944.15;2125.68;4434.77;3582.95;3223.47;3830.24
256	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	2889.549375	2891.331196	5	70.4547	70.7763	19.2939	70.6729	23829.3	7038.62	86902.2	2	3	2	0.857593	0.993240655419564	9833.93;13995.4	0;5417.72;7719.75;7397.58;3043.9;250.387
257	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	7667.787532	7672.575593	2	70.7372	70.7763	2.34778	70.7763	10983.7	6335.04	12893.7	5	6	2	0.90946	0.963161044022974	6335.04;4648.69	0;0;0;1245.16;2206.43;2789.48;1609.06;1443.23;617.1;0;607.247;0;466.027
